Time,Displacement,Force
19.1,0.39589,10.00696
19.2,0.40409,10.01665
19.3,0.41261,9.96162
19.4,0.42107,10.2283
19.5,0.42948,10.18322
19.6,0.43762,10.15996
19.7,0.44577,10.32578
19.8,0.45412,10.22975
19.9,0.4627,10.53518
20,0.47116,10.46183
20.1,0.47946,10.51621
20.2,0.48755,10.67532
20.3,0.49575,10.90605
20.4,0.50432,10.81088
20.5,0.51279,10.87251
20.6,0.52114,10.98863
20.7,0.52934,11.14408
20.8,0.53743,10.99306
20.9,0.54584,11.19224
21,0.55436,11.30803
21.1,0.56282,11.20026
21.2,0.57112,11.41891
21.3,0.57921,11.5835
21.4,0.58746,11.66909
21.5,0.59593,11.72826
21.6,0.60445,11.80726
21.7,0.61286,11.78204
21.8,0.621,11.85672
21.9,0.62909,11.8625
22,0.63755,11.9643
22.1,0.64607,12.12105
22.2,0.65448,12.19649
22.3,0.66273,12.02534
22.4,0.67077,12.33401
22.5,0.67913,12.44641
22.6,0.6877,12.50645
22.7,0.69611,12.70397
22.8,0.70446,12.4987
22.9,0.71266,12.72586
23,0.72075,12.82561
23.1,0.72927,12.86759
23.2,0.73773,12.94052
23.3,0.74614,13.04078
23.4,0.75445,13.18215
23.5,0.76243,13.02244
23.6,0.77079,13.26805
23.7,0.77936,13.50597
23.8,0.78777,13.43167
23.9,0.79612,13.47711
24,0.80427,13.38268
24.1,0.81236,13.59882
24.2,0.82087,13.75485
24.3,0.82939,13.88143
24.4,0.8378,13.82199
24.5,0.84605,13.92867
24.6,0.85414,14.02117
24.7,0.8625,14.01263
24.8,0.87102,14.13286
24.9,0.87948,14.14736
25,0.88784,14.1788
25.1,0.89587,14.21544
25.2,0.90412,14.42701
25.3,0.91264,14.55757
25.4,0.92105,14.43919
25.5,0.92946,14.69542
25.6,0.93771,14.68842
25.7,0.94575,14.85705
25.8,0.95416,14.94514
25.9,0.96273,14.87096
26,0.97114,14.9665
26.1,0.9795,15.02182
26.2,0.98754,15.27627
26.3,0.99573,15.31433
26.4,1.0043,15.21571
26.5,1.01282,15.49949
26.6,1.02112,15.58586
26.7,1.02932,15.57361
26.8,1.03741,15.50844
26.9,1.04588,15.60492
27,1.05439,15.84428
27.1,1.0628,15.85789
27.2,1.07111,15.88902
27.3,1.07909,15.91932
27.4,1.08745,15.91485
27.5,1.09602,15.89748
27.6,1.10448,16.30824
27.7,1.11284,16.2697
27.8,1.12098,16.57482
27.9,1.12912,16.46952
28,1.13754,16.58325
28.1,1.14605,16.66611
28.2,1.15446,16.62584
28.3,1.16277,16.6293
28.4,1.1708,16.86384
28.5,1.17911,16.89988
28.6,1.18763,16.94757
28.7,1.19609,17.09277
28.8,1.2045,17.13552
28.9,1.21264,17.30038
29,1.22079,17.29161
29.1,1.22925,17.45095
29.2,1.23777,17.27518
29.3,1.24618,17.35012
29.4,1.25443,17.41202
29.5,1.26246,17.68368
29.6,1.27082,17.80555
29.7,1.27934,17.81638
29.8,1.2878,18.00746
29.9,1.29611,17.89821
30,1.3042,18.02585
30.1,1.31239,18.34273
30.2,1.32091,18.24846
30.3,1.32943,18.24823
30.4,1.33784,18.44613
30.5,1.34604,18.36034
30.6,1.35413,18.48072
30.7,1.36248,18.57014
30.8,1.37105,18.58265
30.9,1.37946,18.77886
31,1.38782,18.87864
31.1,1.39591,18.83182
31.2,1.40405,19.05619
31.3,1.41262,18.86294
31.4,1.42104,19.04384
31.5,1.4295,19.02609
31.6,1.4377,19.35807
31.7,1.44579,19.37279
31.8,1.45414,19.50046
31.9,1.46271,19.52772
32,1.47113,19.51114
32.1,1.47948,19.57779
32.2,1.48757,19.61764
32.3,1.49577,19.78218
32.4,1.50429,20.03527
32.5,1.51275,19.90438
32.6,1.52111,20.01877
32.7,1.5293,20.22159
32.8,1.53745,20.32622
32.9,1.54586,20.32246
33,1.55438,20.5162
33.1,1.56273,20.59455
33.2,1.57109,20.59691
33.3,1.57918,20.5011
33.4,1.58743,20.54408
33.5,1.596,20.86065
33.6,1.60446,20.74732
33.7,1.61282,20.89318
33.8,1.62102,21.02735
33.9,1.62911,21.15009
34,1.63757,21.28022
34.1,1.64604,21.36832
34.2,1.65445,21.51753
34.3,1.66275,21.5803
34.4,1.67079,21.43529
34.5,1.67909,21.70693
